dataset,algorithm,params,reordered,binary,accuracy,cramers_v,chi2p,pearson,iva,dt_accuracy_original,dt_accuracy_sampled
adult,vae,[30-30-2],0,0,0.383763807,0.000718837,0.843964793,0.993001386,0.908893845,0.807461999,0.68987439
adult,vae,[30-30-2],0,0,0.465319452,0.001669085,0.740272077,0.992239221,0.901366807,0.812682328,0.364024446
adult,vae,[30-30-2],1,0,0.648876468,0.001057372,0.816985565,0.997078247,0.917088212,0.810379242,0.759190443
adult,vae,[30-30-2],1,0,0.64082389,0.000597852,0.834867624,0.996520924,0.913707622,0.807001382,0.759190443
adult,vae,[30-30-2],0,1,0.621074291,0,0.922825062,0.999456986,0.910754309,0.810839859,0.240809557
adult,vae,[30-30-2],1,1,0.61858051,0.003263856,0.74840791,0.998469974,0.912522888,0.807461999,0.240809557
adult,gan,[2],0,0,0.287212719,0.002437276,0.813420956,0.993211369,0.901609706,0.809150929,0.759190443
adult,bnb,[],0,1,0.321501182,0.002130747,0.823233576,0.995820375,0.902125719,0.807615538,0.759190443
adult,bnb,[],0,1,0.481105208,0.00128404,0.766703628,0.977356363,0.903402447,0.801473975,0.240809557
adult,bnb,[],0,1,0.049404707,0.002576328,0.672745563,0.995934311,0.902181072,0.810379242,0.759190443
adult,gnb,[],0,0,0.344025061,0.002902286,0.542693493,0.978452036,0.903516229,0.810225702,0.759190443
adult,gmm,12,0,0,0.414962685,0.002507945,0.54442512,0.974618039,0.931007552,0.818670352,0.772120021
adult,gnb,[],0,0,0.345020116,0.002550299,0.550647618,0.977904273,0.902948117,0.812835867,0.759190443
adult,gnb,[],1,0,0.521157213,0.004670034,0.504757608,0.982138777,0.903229612,0.813296484,0.759190443
adult,gmm,12,0,0,0.422237237,0.002562307,0.603723909,0.975208285,0.931956693,0.811607554,0.765824145
adult,gmm,12,0,0,0.416428652,0.002903334,0.681230892,0.975114089,0.930075509,0.806080147,0.767421148
adult,gmm,12,0,0,0.412798542,0.004853478,0.497948345,0.975134624,0.930634917,0.811761093,0.770707288
adult,gmm,12,1,0,0.579021938,0.002616993,0.648471251,0.977880595,0.929447821,0.815446031,0.763889315
adult,gmm,12,1,0,0.578569454,0.002828053,0.578079595,0.978303073,0.933483793,0.821587594,0.777340991
adult,gmm,12,1,0,0.57373545,0.003335898,0.571634153,0.977180491,0.931359599,0.813296484,0.777924511
adult,gmm,12,0,1,0.818158738,0.004760454,0.388638202,0.990935883,0.965516614,0.807001382,0.759190443
adult,gmm,12,0,1,0.819161983,0.005215047,0.540649251,0.989583282,0.965520644,0.805005374,0.770338749
adult,gmm,12,0,1,0.814194896,0.002508497,0.635753337,0.990362152,0.960587521,0.797942576,0.758914038
adult,gmm,12,1,1,0.812868155,0.002678213,0.577528339,0.990445613,0.964968519,0.814371257,0.697920826
adult,gmm,12,1,1,0.816068303,0.002615872,0.585966068,0.990977846,0.964255645,0.808536773,0.313350327
adult,gmm,12,1,1,0.815423359,0.003525025,0.490877652,0.99043698,0.962009537,0.810072163,0.753877338
adult,vae,[30-30-2],0,0,0.37610229,0.001222889,0.7169161,0.990585497,0.919086027,0.812989406,0.681735819
adult,vae,[30-30-2],0,0,0.392555511,0.000551194,0.809210532,0.99068598,0.912155468,0.813296484,0.758791192
adult,vae,[30-30-2],0,0,0.443876621,0.001248284,0.793345228,0.992013171,0.905458186,0.805926608,0.693129818
adult,vae,[30-30-2],1,0,0.593272115,0.001373146,0.801675996,0.994092189,0.916438363,0.812528789,0.759190443
adult,vae,[30-30-2],1,0,0.639349733,0,0.923118445,0.99576189,0.913886202,0.819130969,0.759190443
adult,vae,[30-30-2],1,0,0.651738788,0.000265368,0.858133387,0.996338177,0.9119782,0.806847843,0.759190443
adult,vae,[30-30-2],0,1,0.620617712,0.000188691,0.84983526,0.997891088,0.918654635,0.811761093,0.240809557
adult,vae,[30-30-2],0,1,0.637771158,0.000725235,0.822499161,0.998853336,0.912520904,0.816520805,0.240809557
adult,vae,[30-30-2],0,1,0.627355835,0.000867524,0.910929004,0.999050386,0.911202841,0.80561953,0.240809557
adult,vae,[30-30-2],1,1,0.633055905,0.002567292,0.767841808,0.998904415,0.911446174,0.803469983,0.240809557
adult,vae,[30-30-2],1,1,0.631786493,0.001567653,0.832181453,0.998861813,0.911337615,0.809918624,0.398697829
adult,vae,[30-30-2],1,1,0.62683169,0.001271245,0.854534753,0.999070198,0.912145216,0.806233686,0.240809557
adult,rbm,[128],0,0,0.470802494,0.000607532,0.887899558,0.999473288,0.901682091,0.809765085,0.759190443
adult,rbm,[128],0,0,0.444959717,0.000680784,0.86529395,0.999460765,0.901798607,0.810532781,0.759190443
adult,rbm,[128],0,0,0.477567233,0.001524345,0.85605546,0.999471887,0.901698046,0.810072163,0.759190443
adult,rbm,[128],1,0,0.623031643,0.001360476,0.864281293,0.999138822,0.90190018,0.819130969,0.759190443
adult,rbm,[128],1,0,0.623031643,0.001108291,0.844615897,0.999140709,0.901675688,0.810379242,0.759190443
adult,rbm,[128],1,0,0.623031643,0.000973602,0.892825063,0.99915097,0.901591873,0.809765085,0.759190443
adult,rbm,[128],0,1,0.4138714,0,0.916376886,0.999450553,0.901626524,0.804237678,0.759190443
adult,rbm,[128],0,1,0.507779245,0,0.941482979,0.99945246,0.901591873,0.809611546,0.759190443
